A-0.6	Accessible Canada Act
A-10.1	Air Canada Public Participation Act
A-10.4	Airport Transfer (Miscellaneous Matters) Act
A-10.5	Air Travellers Security Charge Act
A-10.6	Alberta Natural Resources Act
A-10.7	Alternative Fuels Act
A-11.2	Animal Pedigree Act
A-11.31	Anishinabek Nation Governance Agreement Act
A-11.3	Anishinabek Nation Education Agreement Act
A-11.44	Antarctic Environmental Protection Act
A-11.4	Annulment of Marriages Act (Ontario)
A-11.5	Anti-Personnel Mines Convention Implementation Act
A-11.7	Anti-terrorism Act
A-11.9	Apprentice Loans Act
A-12.8	Asian Infrastructure Investment Bank Agreement Act
A-12	Arctic Waters Pollution Prevention Act
A-13.4	Assisted Human Reproduction Act
A-13.7	Atlantic Canada Opportunities Agency Act
A-1.3	Addition of Lands to Reserves and Reserve Creation Act
A-13	Asia-Pacific Foundation of Canada Act
A-14	Atlantic Fisheries Restructuring Act
A-1.5	Administrative Tribunals Support Service of Canada Act
A-16	Nuclear Energy Act
A-17.5	An Act to confirm the authority of the Federal District Commission to have acquired certain lands
A-17	Auditor General Act
A-18.5	Aviation Industry Indemnity Act
A-18.8	Avoiding Complicity in Mistreatment by Foreign Entities Act
A-1	Access to Information Act
A-2.4	Agreement on Internal Trade Implementation Act
A-2	Aeronautics Act
A-3.7	Agricultural Marketing Programs Act
A-3	Agricultural and Rural Development Act (ARDA)
A-5	Agricultural Products Cooperative Marketing Act
A-6	Agricultural Products Marketing Act
A-8.8	Agriculture and Agri-Food Administrative Monetary Penalties Act
A-9	Department of Agriculture and Agri-Food Act
B-1.01	Bank Act
B-1.5	Bank for International Settlements (Immunity) Act
B-1.7	Bank of British Columbia Business Continuation Act
B-2	Bank of Canada Act
B-3.4	Beechwood Power Project Act
B-3.6	Bell Canada Act
B-3	Bankruptcy and Insolvency Act
B-4	Bills of Exchange Act
B-5.3	Biological and Toxin Weapons Convention Implementation Act
B-5.5	Blue Water Bridge Authority Act
B-5	Bills of Lading Act
B-6.3	Borrowing Authority Act
B-6.4	Boucherville Islands Bridge and Tunnel Act
B-6	Boards of Trade Act
B-7	Bretton Woods and Related Agreements Act
B-8.05	Bridge To Strengthen Trade Act
